File_Name,File_Path,Item,Page,Issue
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,2,7,Item number 2 not found in header text
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,3,7,Item number 3 not found in header text
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,4,7,Item number 4 not found in header text
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,5,7,Item number 5 not found in header text
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,6,7,Item number 6 not found in header text
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,7,7,Item number 7 not found in header text
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,8,7,Item number 8 not found in header text
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,9,7,Item number 9 not found in header text
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,10,7,Item number 10 not found in header text
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,11,7,Item number 11 not found in header text
