File_Name,File_Path,Metric,Count
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,Exact Matches,23
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,Fuzzy Matches,0
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,Missing Items,0
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,Total Issues,0
