File_Name,File_Path,Metric,Count
"ACE PICKLEBALL CLUB FRANCHISE, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ACE PICKLEBALL CLUB FRANCHISE, LLC_2024.json",Exact Matches,20
"ACE PICKLEBALL CLUB FRANCHISE, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ACE PICKLEBALL CLUB FRANCHISE, LLC_2024.json",Fuzzy Matches,3
"ACE PICKLEBALL CLUB FRANCHISE, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ACE PICKLEBALL CLUB FRANCHISE, LLC_2024.json",Missing Items,0
"ACE PICKLEBALL CLUB FRANCHISE, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ACE PICKLEBALL CLUB FRANCHISE, LLC_2024.json",Total Issues,6
