File_Name,File_Path,Metric,Count
"ADVANCED MOBILE IV, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ADVANCED MOBILE IV, LLC_2024.json",Exact Matches,2
"ADVANCED MOBILE IV, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ADVANCED MOBILE IV, LLC_2024.json",Fuzzy Matches,21
"ADVANCED MOBILE IV, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ADVANCED MOBILE IV, LLC_2024.json",Missing Items,0
"ADVANCED MOBILE IV, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ADVANCED MOBILE IV, LLC_2024.json",Total Issues,23
