File_Name,File_Path,Item,Page,Found,Match_Type,Header_Text
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,1,10,✓,EXACT,Item 1
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,2,11,✓,EXACT,Item 2
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,3,13,✓,EXACT,Item 3
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,4,13,✓,EXACT,Item 4
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,5,13,✓,EXACT,Item 5
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,6,14,✓,EXACT,Item 6
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,7,17,✓,EXACT,Item 7
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,8,19,✓,EXACT,Item 8
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,9,20,✓,EXACT,Item 9
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,10,22,✓,EXACT,Item 10
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,11,22,✓,EXACT,Item 11
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,12,26,✓,EXACT,Item 12
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,13,27,✓,EXACT,Item 13
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,14,29,✓,EXACT,Item 14
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,15,29,✓,EXACT,Item 15
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,16,30,✓,EXACT,Item 16
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,17,30,✓,EXACT,Item 17
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,18,33,✓,EXACT,Item 18
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,19,34,✓,EXACT,Item 19
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,20,34,✓,EXACT,Item 20
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,21,42,✓,EXACT,Item 21
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,22,42,✓,EXACT,Item 22
AMERICAN LEAK DETECTION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AMERICAN LEAK DETECTION_2024.json,23,43,✓,EXACT,Item 23
