File_Name,File_Path,Item,Page,Issue
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,6,94,Large page gap: 81 pages between items
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,8,35,Non-sequential page number: Item 8 (page 35) comes after page 94
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,10,102,Large page gap: 64 pages between items
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,11,43,Non-sequential page number: Item 11 (page 43) comes after page 102
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,17,122,Large page gap: 57 pages between items
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,18,75,Non-sequential page number: Item 18 (page 75) comes after page 122
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,19,132,Large page gap: 57 pages between items
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,20,76,Non-sequential page number: Item 20 (page 76) comes after page 132
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,23,140,Large page gap: 59 pages between items
1-800-RADIATOR FRANCHISOR SPV LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-RADIATOR FRANCHISOR SPV LLC_2024.json,6,330,Large page gap: 303 pages between items
1-800-RADIATOR FRANCHISOR SPV LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-RADIATOR FRANCHISOR SPV LLC_2024.json,7,38,Non-sequential page number: Item 7 (page 38) comes after page 330
"1-800-SERVICES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-SERVICES, LLC_2024.json",6,68,Large page gap: 57 pages between items
"1-800-SERVICES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-SERVICES, LLC_2024.json",8,22,Non-sequential page number: Item 8 (page 22) comes after page 70
"1-800-SERVICES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-SERVICES, LLC_2024.json",11,74,Large page gap: 48 pages between items
"1-800-SERVICES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-SERVICES, LLC_2024.json",12,35,Non-sequential page number: Item 12 (page 35) comes after page 74
"1-800-SERVICES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-SERVICES, LLC_2024.json",16,90,Large page gap: 50 pages between items
"1-800-SERVICES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-SERVICES, LLC_2024.json",18,46,Non-sequential page number: Item 18 (page 46) comes after page 93
"1-800-TEXTILES FRANCHISES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-TEXTILES FRANCHISES, LLC_2024.json",7,48,Large page gap: 36 pages between items
"1-800-TEXTILES FRANCHISES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-TEXTILES FRANCHISES, LLC_2024.json",8,20,Non-sequential page number: Item 8 (page 20) comes after page 48
"1-800-TEXTILES FRANCHISES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-TEXTILES FRANCHISES, LLC_2024.json",11,82,Large page gap: 59 pages between items
"1-800-TEXTILES FRANCHISES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-TEXTILES FRANCHISES, LLC_2024.json",12,32,Non-sequential page number: Item 12 (page 32) comes after page 82
10X BUSINESS ADVISOR FRANCHISING LLC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\10X BUSINESS ADVISOR FRANCHISING LLC_2023.json,6,68,Large page gap: 56 pages between items
10X BUSINESS ADVISOR FRANCHISING LLC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\10X BUSINESS ADVISOR FRANCHISING LLC_2023.json,7,17,Non-sequential page number: Item 7 (page 17) comes after page 68
"2ND FAMILY FRANCHISING, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\2ND FAMILY FRANCHISING, LLC_2024.json",13,27,Non-sequential page number: Item 13 (page 27) comes after page 30
"30 MINUTE HIT USA, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\30 MINUTE HIT USA, LLC_2024.json",14,111,Large page gap: 69 pages between items
"30 MINUTE HIT USA, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\30 MINUTE HIT USA, LLC_2024.json",15,45,Non-sequential page number: Item 15 (page 45) comes after page 111
"360 PAINTING, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\360 PAINTING, LLC_2024.json",7,83,Large page gap: 65 pages between items
