File_Name,File_Path,Exact_Matches,Fuzzy_Matches,Missing_Items,Total_Issues
1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 FLOWERS.COM FRANCHISE CO INC_2023.json,1,22,0,22
"1 800 WATER DAMAGE INTERNATIONAL, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 800 WATER DAMAGE INTERNATIONAL, LLC_2024.json",17,6,0,15
"1 PERCENT LISTS FRANCHISES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 PERCENT LISTS FRANCHISES, LLC_2024.json",1,22,0,22
"1 TOM PLUMBER GLOBAL, INC._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1 TOM PLUMBER GLOBAL, INC._2024.json",1,22,0,22
1-800-RADIATOR FRANCHISOR SPV LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-RADIATOR FRANCHISOR SPV LLC_2024.json,1,22,0,22
"1-800-SERVICES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-SERVICES, LLC_2024.json",1,22,0,22
"1-800-TEXTILES FRANCHISES, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1-800-TEXTILES FRANCHISES, LLC_2024.json",1,22,0,22
1073355 ONTARIO LIMITED_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\1073355 ONTARIO LIMITED_2023.json,1,22,0,22
10X BUSINESS ADVISOR FRANCHISING LLC_2023.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\10X BUSINESS ADVISOR FRANCHISING LLC_2023.json,1,22,0,22
"16 HANDLES FRANCHISING, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\16 HANDLES FRANCHISING, LLC_2024.json",18,5,0,14
